,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
157,set100__D-Glucose carbon source with Vanillin stress,0.12833333333333335,0.42163530845190533,3.0,269.0,0.116,270.0,-0.287,271.0,0.556,,
158,set100__D-Glucose carbon source with Vanillic acid stress,-0.2263333333333333,0.14713712425262815,3.0,272.0,-0.219,273.0,-0.377,274.0,-0.083,,
159,"set100__D-Glucose carbon source with cis,cis-muconate stress",-0.006000000000000005,0.45702953952671377,3.0,275.0,0.0,276.0,-0.466,277.0,0.448,,
160,set100__D-Glucose carbon source with Sodium chloride stress,0.18066666666666667,0.1468139412090464,3.0,278.0,0.103,279.0,0.089,280.0,0.35,,
161,set100__D-Glucose carbon source with Sodium sulfate stress,0.028000000000000008,0.24684205476376997,3.0,281.0,-0.246,282.0,0.097,283.0,0.233,,
162,set100__D-Glucose carbon source with Acetic acid stress,-0.48,1.061772574518668,3.0,284.0,0.745,285.0,-1.136,286.0,-1.049,,
163,set100__D-Glucose carbon source with Lactic acid stress,0.218,0.019798989873223347,2.0,287.0,0.232,289.0,0.204,,,,
164,set100__D-Glucose carbon source with Lactic acide stress,-0.196,,1.0,288.0,-0.196,,,,,,
165,set100__D-Glucose carbon source with Glycolic acid stress,-0.0003333333333333151,0.47876960360212234,3.0,290.0,0.031,291.0,-0.494,292.0,0.462,,
166,set101__D-Glucose carbon source,-0.001000000000000038,0.6202152852034526,3.0,293.0,0.565,294.0,0.096,295.0,-0.664,,
167,set101__D-Glucose carbon source with Protecatechuic acid stress,-0.5426666666666667,0.39626043624532253,3.0,296.0,-0.571,297.0,-0.133,298.0,-0.924,,
168,"set101__D-Glucose carbon source with cis,cis-muconate stress",-0.08266666666666667,0.3894628779913861,3.0,299.0,0.126,300.0,0.158,301.0,-0.532,,
169,set101__Ferulic acid carbon source,-0.041333333333333354,0.5357857158728042,3.0,302.0,-0.271,303.0,0.571,304.0,-0.424,,
170,set101__p-Coumaric acid carbon source,-0.07366666666666667,0.5365979252040892,3.0,305.0,0.043,306.0,0.395,307.0,-0.659,,
171,set101__10 mM vanillate carbon source,0.17066666666666666,0.27263589883456896,3.0,308.0,0.397,309.0,0.247,310.0,-0.132,,
172,set101__10 mM 4-acetoxyvanillate carbon source,0.10166666666666668,0.3138030167690128,3.0,311.0,0.377,312.0,0.168,313.0,-0.24,,
173,set101__10 mM 4-hydroxybenzoate carbon source,0.2406666666666667,0.5292497834986173,3.0,314.0,0.66,315.0,0.416,316.0,-0.354,,
174,set101__10 mM 4-acetoxybenzoate carbon source,0.07300000000000001,0.2248354954183169,3.0,317.0,0.218,318.0,0.187,319.0,-0.186,,
175,set101__15 mM beta-hydroxyisobutanoate carbon source,0.004666666666666652,0.4009767241790143,3.0,320.0,0.266,321.0,0.205,322.0,-0.457,,
176,set101__15 mM 3-methyl-2-oxobutanoate carbon source,0.013000000000000003,0.1349925923893604,3.0,323.0,-0.029,324.0,0.164,325.0,-0.096,,
177,set101__D-Glucose carbon source with ??-ketoadipate stress,-0.422,0.4026263776753828,3.0,326.0,-0.338,327.0,-0.86,328.0,-0.068,,
178,set101__D-Glucose carbon source with levulinic acid stress,-0.221,0.2383463865889307,3.0,329.0,-0.368,330.0,0.054,331.0,-0.349,,
