,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
92,set15__Heptanoic acid carbon source,-1.3705186579001298,0.659597063862964,2.0,123.0,-0.9041131011918918,135.0,-1.836924214608368,,,,
93,set16__Butanol carbon source,-1.2043692173585314,0.35606932536278196,2.0,136.0,-1.4561482518950737,137.0,-0.9525901828219892,,,,
94,"set16__1,3-Butandiol carbon source",-3.037883299816234,0.44463584652513377,2.0,138.0,-3.352288322052777,139.0,-2.723478277579691,,,,
95,set16__3-methyl-3-butenol carbon source,-0.9980215445427413,0.415499619630285,2.0,140.0,-1.291824143163747,141.0,-0.7042189459217356,,,,
96,set16__3-methyl-1-butanol carbon source,-3.891776974173086,1.8580943274283745,2.0,142.0,-2.577905875164225,143.0,-5.205648073181947,,,,
97,set16__1-Pentanol carbon source,-0.7769009422542217,0.28516844865970853,2.0,144.0,-0.5752563984264939,145.0,-0.9785454860819494,,,,
98,set16__Ethanol carbon source,-0.8997053838887378,0.33550058312870756,2.0,146.0,-0.6624706464663876,147.0,-1.136940121311088,,,,
99,set27__Ammonium chloride nitrogen source,-2.6979774466588466,0.06081322859926643,2.0,148.0,-2.654976000330458,149.0,-2.740978892987236,,,,
100,set27__6-aminocaproic acid nitrogen source,0.3410777224898073,0.06566087952701972,2.0,150.0,0.3875069756620359,151.0,0.2946484693175787,,,,
101,set27__Urea nitrogen source,-3.3891841684773825,0.08731650194808929,2.0,152.0,-3.450926259114365,153.0,-3.3274420778404004,,,,
102,set27__Sodium nitrite nitrogen source,-4.301266508049,0.041410687790510894,2.0,154.0,-4.330548286199269,155.0,-4.271984729898731,,,,
103,set27__Valerolactam nitrogen source,-1.7565355661904696,0.14865545298423197,2.0,156.0,-1.861650845055978,157.0,-1.6514202873249613,,,,
104,set27__4-aminobutyric acid nitrogen source,-1.577015724064412,0.6119100407032094,2.0,158.0,-1.1443299848070363,159.0,-2.009701463321788,,,,
105,set27__Sodium nitrate nitrogen source,-5.150233121042435,0.521048009310287,2.0,160.0,-5.51866970174949,161.0,-4.781796540335379,,,,
106,set27__5-Aminovaleric acid nitrogen source,-1.836660973577555,0.07621161427424168,2.0,162.0,-1.7827712243190652,163.0,-1.8905507228360448,,,,
107,set27__Caprolactam nitrogen source,-0.5524561870869655,0.6500681635509499,2.0,164.0,-1.0121237937673278,165.0,-0.0927885804066032,,,,
108,set27__Hydantoin nitrogen source,-0.06740149955701935,0.5948179764804089,2.0,166.0,0.3531983251839381,167.0,-0.4880013242979768,,,,
109,set27__DL-2-Aminobutyric acid nitrogen source,-6.7934799790059515,0.027754864195952352,2.0,168.0,-6.773854326322081,169.0,-6.813105631689821,,,,
110,set27__3-aminobutyric acid nitrogen source,-2.1162294749874264,0.26069214631890336,2.0,170.0,-2.3005666594515986,171.0,-1.931892290523254,,,,
111,set27__D-Lysine nitrogen source,-4.209315825371537,0.33794015935688965,2.0,172.0,-4.448275603688056,173.0,-3.9703560470550174,,,,
112,set27__D-Alanine nitrogen source,-2.131484577387104,0.03480007391108964,2.0,174.0,-2.106877209138779,175.0,-2.156091945635428,,,,
113,set27__L-Arginine nitrogen source,-3.5503572809639334,0.1385335725424466,2.0,176.0,-3.452399252397171,177.0,-3.648315309530696,,,,
114,set27__L-Aspartate nitrogen source,-1.352100528901455,0.12057025493599818,2.0,178.0,-1.43735657377609,179.0,-1.2668444840268198,,,,
115,set27__Beta-alanine nitrogen source,-3.2046974857566655,0.1620348606492148,2.0,180.0,-3.090121537002988,181.0,-3.3192734345103423,,,,
116,set27__L-Ornithine nitrogen source,-4.054953626435914,0.020993865736052077,2.0,182.0,-4.069798531261196,183.0,-4.040108721610632,,,,
117,set27__L-Glutamine nitrogen source,-2.675325039900936,0.058224164397613215,2.0,184.0,-2.6341543384264634,185.0,-2.7164957413754087,,,,
118,set27__L-Alanine nitrogen source,-3.6586552437581252,0.18059109843229235,2.0,186.0,-3.530958053434724,187.0,-3.786352434081526,,,,
119,set27__L-Cysteine nitrogen source,0.09036540959874266,0.0592760966704704,2.0,188.0,0.1322799395167016,189.0,0.0484508796807837,,,,
120,set27__L-Lysine nitrogen source,-3.982075324806276,0.25255547666542016,2.0,190.0,-3.803491634630357,191.0,-4.160659014982196,,,,
121,set27__L-Asparagine nitrogen source,-2.3865053138610137,0.05058343690706559,2.0,192.0,-2.3507374226083058,193.0,-2.4222732051137217,,,,
122,set27__L-Proline nitrogen source,-2.5223282023962605,0.10553521601725552,2.0,194.0,-2.596952869296049,195.0,-2.447703535496472,,,,
123,set27__Glycine nitrogen source,-2.2595577815053822,0.2301324477234156,2.0,196.0,-2.096829567149096,197.0,-2.422285995861668,,,,
124,set27__L-Methionine nitrogen source,-2.719220089397917,0.2360198947534843,2.0,198.0,-2.886111357473041,199.0,-2.552328821322793,,,,
125,set27__L-Valine nitrogen source,-0.9260672199062893,0.05022556378283561,2.0,200.0,-0.9615820566460498,201.0,-0.8905523831665287,,,,
126,set27__L-Histidine nitrogen source,-2.302032008931607,0.18894764929329444,2.0,202.0,-2.435638173036153,203.0,-2.168425844827061,,,,
127,set27__L-Phenylalanine nitrogen source,-0.028788481278883154,0.11882069013880288,2.0,204.0,0.0552304344635299,205.0,-0.1128073970212962,,,,
128,set27__L-Isoleucine nitrogen source,-1.7868534127932856,0.12766213331237672,2.0,206.0,-1.877124172959208,207.0,-1.6965826526273629,,,,
129,set27__L-Leucine nitrogen source,-1.4011872327316945,1.6297856460342455,2.0,208.0,-2.5536197149230078,209.0,-0.2487547505403812,,,,
130,set27__L-Threonine nitrogen source,-1.6899267196678647,0.18682878782269716,2.0,210.0,-1.5578188168775728,211.0,-1.8220346224581565,,,,
131,set27__L-Serine nitrogen source,-2.6436313441872112,0.4158202899181596,2.0,212.0,-2.349601997431124,213.0,-2.937660690943298,,,,
132,set28__Ethanolamine nitrogen source,-1.0901986527417762,0.16201928418838515,2.0,214.0,-1.2047635872743738,215.0,-0.9756337182091788,,,,
133,set28__Choline chloride nitrogen source,-0.1776975651009029,0.037690240610440094,2.0,216.0,-0.2043485898210977,217.0,-0.1510465403807081,,,,
134,set28__Carnitine Hydrochloride nitrogen source,-0.9718392057040599,0.21556478516874644,2.0,218.0,-0.819411884326218,219.0,-1.124266527081902,,,,
135,set28__Betaine nitrogen source,-0.899269336449357,0.13089519829464794,2.0,220.0,-0.9918262187882604,221.0,-0.8067124541104537,,,,
136,set28__Nicotinic Acid nitrogen source,-1.4578960916279438,0.10927427565665204,2.0,222.0,-1.5351646729540105,223.0,-1.380627510301877,,,,
137,set28__Butyrolactam nitrogen source,-1.0783241557696925,0.01837591415995054,2.0,224.0,-1.0653304222566895,225.0,-1.0913178892826954,,,,
138,set28__Cytosine nitrogen source,-1.0759481660471184,0.12330519385766785,2.0,226.0,-0.9887582273148396,227.0,-1.1631381047793972,,,,
139,set28__4-Guanidinobutyric acid nitrogen source,-1.2315295248033502,0.500281909140906,2.0,228.0,-0.8777767943448634,229.0,-1.585282255261837,,,,
140,set28__spermidine nitrogen source,-2.373223394964937,0.14943142156115718,2.0,230.0,-2.267559423456697,231.0,-2.478887366473177,,,,
141,"set28__1,6-Hexanediamine nitrogen source",-1.521202292216714,0.14217101525955314,2.0,232.0,-1.6217323811949202,233.0,-1.420672203238508,,,,
142,set28__Cadaverine nitrogen source,-1.6121064893518844,0.11993230095933989,2.0,234.0,-1.6969114326435395,235.0,-1.5273015460602293,,,,
143,set28__Uracil nitrogen source,-1.1070622045571599,0.20989525225965514,2.0,236.0,-0.9586438483454968,237.0,-1.255480560768823,,,,
144,set28__Adenine hydrochloride hydrate nitrogen source,-1.845211122853541,0.21626784324672335,2.0,238.0,-1.6922866643411936,239.0,-1.9981355813658883,,,,
145,set28__L-Pipecolic Acid nitrogen source,-0.18399932082522613,0.4861701510632689,2.0,240.0,0.1597748898020995,241.0,-0.5277735314525518,,,,
146,set28__L-pyroglutamic acid nitrogen source,-0.943731972657333,0.4231038894469632,2.0,242.0,-0.6445523432829819,243.0,-1.242911602031684,,,,
147,set28__L-Glutamic acid monopotassium salt monohydrate nitrogen source,-0.5929577883522887,0.28348968328316265,2.0,244.0,-0.7934152657982397,245.0,-0.3925003109063378,,,,
148,set29__Propandiamine nitrogen source,-9.137992950304586,0.43695545940602454,2.0,246.0,-8.829018781882104,247.0,-9.44696711872707,,,,
149,set29__Putrescine Dihydrochloride nitrogen source,-5.617278606711392,0.3359301878839712,2.0,248.0,-5.854817120569419,249.0,-5.379740092853365,,,,
150,set29__DL-3-Aminoisobutyric acid nitrogen source,-4.385173013433686,0.12014717328924598,2.0,250.0,-4.470129894406908,251.0,-4.3002161324604655,,,,
151,set29__D-Galacturonic Acid monohydrate carbon source,-6.486966956643963,0.06340986983116013,2.0,252.0,-6.442129407692193,253.0,-6.531804505595733,,,,
152,set100__D-Glucose carbon source,-8.464192395903767,0.7130161852241017,3.0,254.0,-8.474440137811268,255.0,-9.17202947635681,256.0,-7.746107573543226,,
153,set100__D-Glucose carbon source with p-Coumaric acid stress,-6.3996287611041245,1.2901232962455165,3.0,257.0,-6.730615761485987,258.0,-7.492011973353271,259.0,-4.9762585484731146,,
154,set100__D-Glucose carbon source with Ferulic acid stress,-8.607815904418159,1.6859061086592837,3.0,260.0,-9.133210491131504,261.0,-9.968463861895062,262.0,-6.721773360227911,,
155,set100__D-Glucose carbon source with 4-Hydroxybenzaldehyde stress,-10.627461407455847,0.7669344911473426,3.0,263.0,-10.228240200897908,264.0,-11.511656070501951,265.0,-10.142487950967684,,
156,set100__D-Glucose carbon source with 4-Hydroxybenzoic acid stress,-6.679916607188261,0.6848291727910795,3.0,266.0,-6.270060460344248,267.0,-7.470510498356488,268.0,-6.299178862864048,,
157,set100__D-Glucose carbon source with Vanillin stress,-9.556278189933957,0.5142411742499231,3.0,269.0,-10.077794047465092,270.0,-9.541406196210664,271.0,-9.049634326126116,,
158,set100__D-Glucose carbon source with Vanillic acid stress,-10.680248744256486,2.1535542019032796,3.0,272.0,-10.21320522729448,273.0,-8.798540381572632,274.0,-13.029000623902345,,
