,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
71,set12__Vanillic Acid carbon source,-0.097,0.10182337649086286,2.0,86.0,-0.169,103.0,-0.025,,,,
72,set12__Protocatechuic Acid carbon source,0.079,0.04101219330881975,2.0,87.0,0.05,89.0,0.108,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,0.0935,0.004949747468305837,2.0,88.0,0.097,104.0,0.09,,,,
74,set12__L-Lysine carbon source,0.03,0.06222539674441618,2.0,90.0,0.074,105.0,-0.014,,,,
75,set12__p-Coumaric acid carbon source,-0.0195,0.007778174593052024,2.0,91.0,-0.014,106.0,-0.025,,,,
76,set12__benzoic acid carbon source,0.0075,0.06151828996322963,2.0,92.0,0.051,107.0,-0.036,,,,
77,set12__Ferulic Acid carbon source,0.028499999999999998,0.08273149339882606,2.0,93.0,-0.03,108.0,0.087,,,,
78,set12__D-Glucose carbon source,0.0175,0.0035355339059327385,2.0,94.0,0.02,109.0,0.015,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,0.04,0.009899494936611665,2.0,95.0,0.047,110.0,0.033,,,,
80,set12__Phenylacetic acid carbon source,-0.023999999999999997,0.11172287142747452,2.0,96.0,-0.103,111.0,0.055,,,,
81,set15__Butyl stearate carbon source,-0.009000000000000001,0.0565685424949238,2.0,112.0,-0.049,124.0,0.031,,,,
82,set15__Hexanoic acid carbon source,-0.0165,0.019091883092036785,2.0,113.0,-0.003,125.0,-0.03,,,,
83,set15__Decanoic acid carbon source,-0.024,0.015556349186104048,2.0,114.0,-0.013,126.0,-0.035,,,,
84,set15__Lauric acid carbon source,-0.019999999999999997,0.07636753236814713,2.0,115.0,0.034,127.0,-0.074,,,,
85,set15__Valeric acid carbon source,-0.037000000000000005,0.04666904755831214,2.0,116.0,-0.004,128.0,-0.07,,,,
86,set15__Octanoic acid carbon source,-0.097,0.009899494936611663,2.0,117.0,-0.104,129.0,-0.09,,,,
87,set15__Nonanoic acid carbon source,0.029000000000000005,0.07778174593052023,2.0,118.0,-0.026,130.0,0.084,,,,
88,set15__Tween 20 carbon source,-0.152,0.012727922061357866,2.0,119.0,-0.143,131.0,-0.161,,,,
89,set15__Myristic acid carbon source,0.028999999999999998,0.015556349186104048,2.0,120.0,0.018,132.0,0.04,,,,
90,set15__Sodium butyrate carbon source,0.05800000000000001,0.15697770542341358,2.0,121.0,-0.053,133.0,0.169,,,,
91,set15__Oleic acid carbon source,0.022500000000000003,0.01767766952966369,2.0,122.0,0.01,134.0,0.035,,,,
92,set15__Heptanoic acid carbon source,-0.0435,0.044547727214752496,2.0,123.0,-0.012,135.0,-0.075,,,,
93,set16__Butanol carbon source,0.0685,0.053033008588991064,2.0,136.0,0.031,137.0,0.106,,,,
94,"set16__1,3-Butandiol carbon source",0.056999999999999995,0.0282842712474619,2.0,138.0,0.037,139.0,0.077,,,,
95,set16__3-methyl-3-butenol carbon source,0.0535,0.03606244584051392,2.0,140.0,0.028,141.0,0.079,,,,
96,set16__3-methyl-1-butanol carbon source,0.055499999999999994,0.027577164466275353,2.0,142.0,0.036,143.0,0.075,,,,
97,set16__1-Pentanol carbon source,0.042,0.009899494936611665,2.0,144.0,0.049,145.0,0.035,,,,
98,set16__Ethanol carbon source,0.013999999999999999,0.03394112549695428,2.0,146.0,0.038,147.0,-0.01,,,,
99,set27__Ammonium chloride nitrogen source,-0.0065,0.012020815280171309,2.0,148.0,-0.015,149.0,0.002,,,,
100,set27__6-aminocaproic acid nitrogen source,0.038000000000000006,0.10606601717798214,2.0,150.0,0.113,151.0,-0.037,,,,
101,set27__Urea nitrogen source,0.028499999999999998,0.06717514421272201,2.0,152.0,0.076,153.0,-0.019,,,,
102,set27__Sodium nitrite nitrogen source,0.0175,0.007778174593052022,2.0,154.0,0.012,155.0,0.023,,,,
103,set27__Valerolactam nitrogen source,0.083,0.07636753236814714,2.0,156.0,0.029,157.0,0.137,,,,
104,set27__4-aminobutyric acid nitrogen source,0.037,0.07353910524340095,2.0,158.0,0.089,159.0,-0.015,,,,
105,set27__Sodium nitrate nitrogen source,0.0595,0.02333452377915607,2.0,160.0,0.043,161.0,0.076,,,,
106,set27__5-Aminovaleric acid nitrogen source,0.0515,0.05161879502661797,2.0,162.0,0.088,163.0,0.015,,,,
107,set27__Caprolactam nitrogen source,0.014500000000000002,0.07707463914933368,2.0,164.0,0.069,165.0,-0.04,,,,
108,set27__Hydantoin nitrogen source,0.0265,0.017677669529663688,2.0,166.0,0.014,167.0,0.039,,,,
109,set27__DL-2-Aminobutyric acid nitrogen source,0.034,0.01697056274847714,2.0,168.0,0.022,169.0,0.046,,,,
110,set27__3-aminobutyric acid nitrogen source,-0.0085,0.06576093065034892,2.0,170.0,0.038,171.0,-0.055,,,,
